	1068841_20180306_S	1112926_20171212_S	1128691_20171206_S	1128691_20171218_S	1128691_20180116_S	1162967_20180116_S	1255498_20171212_S	1282052_20180206_S	1316935_20180417_S	1316979_20171215_S	1447437_20171006_S	1465461_20180406_S	1470026_20180502_S	1565754_20171128_S	1565754_20180403_S	1586713_20180309_S	1593967_20180424_S	1593973_20180427_S	1593973_20180504_S	1598281_20180508_S	1651490_20171010_S	1651490_20180206_S	1658447_20171006_S	1664053_20180406_S	1690154_20180406_S	1723809_20180227_S	1834617_20180501_S	1845116_20180403_S	1862551_20180123_S	623361_20180123_S	634207_20180510_S	634207_20180517_S	639354_20171206_S	642660_20180601_S	650003_20180207_S	650003_20180213_S	652927_20180226_S	658355_20170925_S	658355_20171204_S	658355_20180122_S	658355_20180301_S	658355_20180321_S	670829_20170922_S	670829_20171001_S	670829_20171005_S	670829_20180201_S	673895_20180122_S	673895_20180205_S	676138_20171001_S	676138_20171009_S	676138_20180130_S	676138_20180323_S	676138_20180405_S	698564_20171001_S	698564_20180215_S	698564_20181205_S	698917_20171207_S	698917_20180119_S	698917_20180128_S	698917_20180329_S	701099_20180504_S	701099_20180517_S	715927_20180205_S	715927_20180213_S	717449_20180606_S	720054_20170925_S	720054_20171120_S	748160_20180321_S	748160_20180329_S	748699_20180329_S	748699_20180410_S	748699_20190101_S	748699_20190109_S	748699_20190114_S	752797_20170918_S	752797_20170927_S	752797_20180306_S	753522_20180606_S	756934_20181205_S	756934_20181218_S	763742_20170925_S	763742_20180129_S	768745_20171123_S	768745_20171206_S	768745_20190228_BAL	768745_20190228_S	770560_20181211_S	770560_20181218_S	770560_20190109_S	770590_20170925_S	770590_20180115_S	773911_20171213_S	773911_20180130_S	777599_20180306_S	777851_20170918_S	778851_20171204_S	778851_20180212_S	785991_20171129_S	785991_20171206_S	785991_20171213_S	785991_20180215_S	785991_20180321_S	788707_20171213_S	788707_20180129_S	788707_20180301_S	788707_20180308_S	788707_20180313_S	788707_20181116_S	788707_20181126_S	802187_20180321_S	802971_20180605_S	810653_20180115_S	825012_20171123_S	825012_20171129_S	825012_20171206_S	825012_20181113_S	825012_20181120_S	825012_20181126_S	848255_20190228_S	875028_20180115_S	877469_20190115_S	892355_20180123_S	895293_20180502_S	896213_20180427_S	913873_20180417_S	980574_20180403_S	983493_20180123_S
Microbial communities	7128.16287136275	8367.97381547918	1400.56935541967	2902.42640825134	1233.12540961258	3524.33469588548	5181.04917644208	10717.6201437461	7235.99274644616	8101.68644036014	7937.74794050974	5412.20236966966	2528.61458386168	7409.505964543	6166.37353323803	5734.59242002067	6631.03868788698	4579.69781077675	5193.76497262538	5640.22015192147	5390.81712808065	9185.85909534608	5509.39768072415	4406.11429416322	4061.27064889732	5896.61349307992	6914.34015565034	5396.29733484405	2647.3365826477	5587.89837946977	4007.17964464633	4930.88366278269	3386.57369424061	7784.04948319322	1624.43133917578	3299.31428489143	3936.98922561564	4313.83943315635	5858.88367644697	6815.58315329989	6850.40813947666	5397.50739859589	4004.63096025349	5281.46362904585	6300.61761241345	4863.7043937938	4268.18734025478	7639.77250358964	4000.38625465179	3370.79034880454	3821.33600258123	2633.43864756624	3035.59657071783	4634.51741514308	8801.33284409495	10599.6636853312	4732.81957390298	6236.24940664118	6182.61853355926	3731.47853973385	10002.5823846425	4203.70215970988	6135.14172062622	5360.43587050255	5409.50430586871	8136.21621460282	6986.48808759145	3991.11308140082	5227.46453989911	5645.70167155956	4711.13280498146	6093.83770686456	7012.4030356712	5456.36699004318	6297.04496341314	4680.94577282819	7287.34270452416	5700.37026745294	3991.25655847137	5412.92195392554	5927.09286272181	6644.51690095657	5792.62413240664	5568.36821790547	2641.36671860782	7506.95778506287	5789.97693292469	5498.70791596888	9650.91340303201	2038.54615896113	7318.62878015704	6209.97080840169	5900.84565114085	10278.3263857591	5406.53658836475	5251.77616984573	5856.89003411484	6995.89653066908	6932.49324517976	5090.75609852486	5490.32224536395	4305.95503175564	9868.70964846394	5081.45266882371	4651.21672197733	9626.22915430973	6467.09258836215	6535.27217912004	9821.73641489442	4855.55772016225	3597.03328399473	7105.34111853041	6227.39265368849	5700.27155715953	4524.60425603468	5367.87914603523	5909.23004727608	4950.85769145452	7158.56757506797	5638.85232927841	8743.93831613013	11073.2704065741	4259.05288608377	4935.51823294234	5279.75747891751	5198.19985936139	3078.82991811882
Miscellaneous	1653.19824445558	2758.20427050818	10782.0690460614	9450.5835488184	11271.8762980437	8228.68478619344	2249.88458880837	2950.90750006656	1942.86301067119	3090.69451276448	1983.7074931651	2902.12468459702	2171.16469501955	3177.20871492401	3313.11754726007	687.214108537863	2337.59536942032	1764.81322580608	1363.00106194192	2663.70415383836	2817.34371336596	2993.16900119313	2048.36913912009	2033.86552805214	1263.2054486555	2422.51637519318	3041.55480230464	2946.0046887685	2605.16172457992	1550.24191550565	3018.45132927134	2265.78433782099	6720.30098492999	2321.24186383646	2604.73242520388	2659.06331723495	2139.94010673959	1599.02278139531	2188.84551021299	1268.93444718274	1218.18832065727	877.036018567183	1831.548662099	1793.00877461912	1615.320022711	3659.1941346026	5321.45899274069	2100.82515494066	6535.22665127971	1365.11895991313	2540.44548839553	4097.69140142279	1134.17258123633	5601.63778483203	937.523300346473	1154.12526622966	3596.6294444064	1811.23654549437	3025.81542638176	7462.9570794677	1142.04344457044	1619.9808058571	1833.32488004192	2339.73125974508	1053.53371341594	1883.85018345235	2148.71799092438	1407.42577986674	934.432189256703	2191.41464079968	3922.30200874258	880.677649772912	825.736186717968	777.831462028087	1691.00746829565	1730.85222671997	1814.59826110122	3216.03102904299	1027.30008017273	1297.10572167801	1785.30543450939	3004.89001951172	1925.97579832094	1736.7216974467	4682.42281935023	2187.58869563149	2432.42926208864	1468.00819823643	1138.60721127021	2281.36586002504	1595.82963709292	1035.38815664656	2989.60131624007	1282.26665126857	1894.52365227266	2537.29952457771	1989.96317278073	1566.94761696495	1167.71522591841	2254.17965261717	1327.29690013493	2218.67319049523	1615.20247843564	2126.51338788183	2910.474433586	1104.97634349378	2513.5258643027	1948.41915079084	1517.60567173333	2595.56807329065	1089.07624584675	1883.17973476842	1886.49992091402	2648.44036038461	1885.7781996484	2682.60626970266	1476.33495914501	1557.18091000615	1606.51795826039	1566.50662993582	1240.81735634901	2978.70973936843	3039.61481638051	1996.78578973936	2055.47810247934	2087.44741438015	6820.21356463197
Motility and Chemotaxis	134.676476401011	803.4452545227	19822.9343952433	16067.0905122879	20415.3443548384	11342.0400489829	1036.9964318233	965.61041562897	543.793293067218	24.9613545583843	432.442835269471	732.423883790193	84.4211546281324	661.307108744788	1795.04581852189	4.89187318877055	1168.79768471016	272.843077834697	280.456868639597	754.966113974948	205.36446202212	191.460703701053	291.063500530208	725.106938697724	92.1329931820031	239.441154461519	499.440531723728	995.729741345851	82.9669339038192	265.366173628503	165.194267975553	385.006323028175	10400.1722188799	91.0598769716028	216.226826996171	17.9346659335753	45.0513706682019	422.649193320347	96.2737022563539	185.739477260475	130.555861213246	56.5763564624384	68.0494954413878	172.63104175764	69.8809985626368	115.606255112388	2202.33380535887	128.00324300547	14005.9532911495	795.533322199293	2799.3961284072	5890.7518447255	212.169239565633	14765.3426738649	192.830453548246	2345.82720904871	3275.36189054875	1855.41304660399	1571.85216954897	8059.99364582512	404.903171433868	67.4474600251959	1113.44872259845	872.053527004624	202.27847297586	245.965334157002	340.133639373252	60.6885199283757	25.3691997083268	346.64007969859	201.241420718694	65.0346572139996	33.0614424129893	40.3086749553017	268.505964091052	564.53617360742	10.0694469980183	676.688581193389	26.7603494111565	68.8463806121405	461.415580254352	170.629010699116	509.674416233895	119.245024813804	11525.963863016	175.354097996218	656.623352571643	142.172945377181	36.7604707122072	7.4056448418317	135.338383303995	136.434749777731	433.296912484388	686.567970757976	347.825846911087	578.722614122104	214.276464662738	172.650371909478	168.643335160017	71.852327268614	934.39576633428	365.970214980797	212.993733420085	234.435765124676	472.560118507575	620.603151825272	158.404494573243	154.449966377639	91.0942962607753	1643.93402276544	354.064523032657	723.141018151074	353.587061737265	570.238355106733	86.5325647343637	287.993516031697	245.08327385016	55.862992287216	160.864651643247	120.558900345657	1301.31719065122	88.5861632525928	719.373931042005	1608.7178800727	1547.65410069032	346.722301820557	11778.7329492325
Nitrogen Metabolism	1901.39057614907	4771.59981904423	5285.61976930223	5000.52186484683	6569.83156099852	4046.94838143208	2111.35619905364	6687.42997655008	1603.51307730597	6094.92697506965	3002.95366293316	1400.42159261736	3039.66407348555	2146.17701777624	1863.76076446059	1291.54859631982	2139.05679917685	1760.2658411755	1508.99855737515	2667.68752563774	4143.65586392548	5659.2593002303	1693.90373666474	2630.39476095346	3184.79947780261	2544.73738219066	4388.31799359012	1450.9124572854	2339.6675360877	1765.2619376157	1276.32882781768	1953.1326513619	4162.535053051	1064.06606237076	4515.73711379504	4636.85842157645	2792.82743086766	3316.38733692033	2694.69387313687	1417.44043476197	2199.1335499772	2458.91914472891	4714.70756818399	1734.94196966428	1816.34755282269	6334.62136033456	2220.13557976708	3247.24016466509	3112.31608008788	5771.05472862725	2728.72892112673	3217.12191519979	4936.4058913049	3332.25632328469	1152.85064014202	1178.1265538778	2298.49957231491	3732.91434376279	3955.82796003156	3059.81240258176	2374.14214513101	2964.7472181424	2310.2475529911	2835.08386836499	1484.57950701926	1456.39933398431	1661.68277972879	1160.66794363019	818.156690593538	1416.86925615341	4355.65711358568	3102.01766023859	2162.05835908815	3214.61682768531	1726.02097750197	2658.02448406827	1490.27815570671	1070.07749930912	4665.59258553121	2430.07768088215	3036.72041732043	2124.95040138798	2511.03252335764	2980.36953776023	2161.11822431549	2421.98372671866	1802.65541513457	2273.75160499649	1357.23527392702	577.640297662873	1518.08809196651	3300.71031684495	1730.97695140447	2135.42832081341	2338.72005078518	2060.79663316667	2153.80560950122	3813.09985712998	3840.83197683156	3179.88649136626	1340.32996119699	1970.61538461224	1615.20247843564	2172.40936028216	2622.05232421911	1101.53619298477	2186.89841474878	1543.98137529861	988.120074717576	1469.52749737662	4875.92745468954	2863.03396584314	1602.20234628316	1609.33935774567	2553.96216369914	1623.96343762318	1283.76952969131	1679.38120563443	2204.73338155871	2907.88067633726	780.790314390732	7760.97839620762	2526.08014090275	3471.44384647267	2817.21410516286	2749.62729171728	4099.65344038563
Nucleosides and Nucleotides	37557.8281952766	36581.0870038623	29985.7434370488	32947.0557040945	29189.5987371306	33556.4293662677	39832.811528498	34695.9105129849	36805.5343691789	36102.5961325945	36969.6313621583	36942.598453329	35788.8744844366	35027.7791639635	37888.364037588	37594.7980515769	34496.7308971253	52159.8926774435	39358.3595490647	35807.9350004773	34441.3316516264	35309.6084447787	37022.9391239655	40944.7680384313	39561.2861510498	35532.3071914404	36838.3474093377	36074.4236537195	32744.283247374	37684.0944115608	41074.8777064329	39479.6694545179	34254.1580085075	39618.6348057282	35838.6865290473	36150.4743618316	38314.8797345825	35577.6698732772	36630.6743296926	37125.0703243211	36525.888613514	35426.5360184283	36295.0519354455	38569.9597236084	37892.4130607839	37594.5304679159	35485.7180239136	39181.3435497884	30714.3441202804	34354.0979973229	35185.4461849732	33022.0173182509	39658.0754997909	26284.6080672887	36100.6156249967	33102.6628068002	36412.9347018661	40259.5180112326	35013.0070767032	23433.6852295286	34709.9673746293	37456.7377855816	38447.5021686509	42533.3552891546	36711.1347680593	36284.2395819741	35942.6712472585	42978.4297587216	44906.7720837005	38138.1576537426	44740.3890387967	35417.2420373546	36843.4225754688	38457.4150815733	36897.6089265677	33801.6033947443	40291.2139214039	39853.5528661642	33417.2341081947	35762.3688159001	35704.244384813	36800.518907897	35560.0571527295	37221.0095509087	30495.7793875631	36748.3064243112	35410.0796365084	36953.8434247893	37486.0063183692	39187.9191221988	37760.5438548823	34940.6025421515	34530.374187255	34075.9838427672	38320.7960483624	36036.0349841563	37837.9250013957	37456.2395335187	35810.5996427583	38801.1923022295	36123.8266601361	37247.2387741852	37220.6549151599	36428.617292296	38687.213405597	30793.9339229783	36690.0592265116	37099.7802906036	37007.0578559399	40656.6369112754	35169.0979378253	34581.7421762951	37354.5243057172	35665.2411210645	37689.9379579571	36583.1763559152	39691.8197316378	34935.3188016177	35250.5537146484	35578.8961555647	37165.1623624758	34185.031290162	38831.5401134152	35928.032654957	31178.7815701572	36516.497744931	31612.8104876345
Phosphate Metabolism	4746.30753836161	4682.18950345294	5873.46204303504	4818.66251462418	5270.34421642636	4882.13797384042	5123.36543055052	5851.61981775584	2918.98238922288	4842.97375328049	4557.28218707058	3914.49563816703	3804.9820407394	3202.11863181687	3919.92337754956	6320.30015989155	4984.77630599996	4360.35337565474	5028.90398899338	3807.16617624611	3131.80804583733	4895.01199129026	4391.70343427348	3711.12108625294	3672.89730123311	4333.34480292389	4294.83747227452	3371.89022393711	4542.4396312341	3543.11041311101	2016.99493095397	1993.1821596769	4391.53613510628	5319.15281344466	2577.24904904528	2281.68805488264	3032.74385720388	6339.73789980521	4181.3820060571	5140.7894028867	6638.36588189392	6455.85424068128	4444.26343939373	4375.41222200272	5249.69035777398	3253.01300512776	7593.72834041754	8195.57605874497	6101.45622524222	6316.66152506912	3403.72259066781	3709.50646825874	2431.91940238317	3849.33058034611	6269.74446108298	4513.11090274205	2711.18472279872	6184.71015534663	5501.48259342138	4776.29253085933	5603.69406199432	3969.20459520368	4967.48522864713	2460.38474230019	5990.33249255654	4239.101440503	4427.38737230698	4367.0447465127	4171.82395203596	5332.60740602534	1744.09231289535	7053.55053033504	5928.66317334864	6797.05031433774	5924.53437434237	5645.3617360742	5966.14734632585	5000.98457874982	7924.0367978591	4660.60063535229	5190.22616334592	4246.91938189009	4516.18787364869	4747.76658579309	5042.60919006948	4402.55014911542	4074.32751067746	5614.38059805807	5726.89438463859	3061.37964461566	4824.08985770688	6442.75207283728	4163.48223730747	5189.64613190588	5206.23943934224	4026.20311983845	5229.32715669293	6119.38874369043	6724.95271107289	3967.03435005699	5384.23146805627	2937.61607103898	7241.78693628289	4890.39901219637	3443.56308579131	3115.40030095879	5444.66357793485	5432.69982406178	6004.6323618561	4046.69621485169	6270.87610793394	5643.16181035684	5132.10376797604	4207.09186434301	5627.47728838602	4383.9012995936	5065.05432623664	5893.54568630129	5342.77158886743	6255.66738460245	5287.45721675127	6156.7383460552	4802.12821247488	4847.32098074537	5852.06706823529	4655.98519587605	5326.60478926402
Photosynthesis	250.367722648575	148.462710074847	396.855543448314	688.380359232026	448.847996453894	396.921786491091	178.295214573918	71.4117027635573	143.761445293632	79.3582687375049	206.592123731974	304.692210915365	44.2206048052122	573.26932027412	196.630460686143	246.475149126516	716.757889184062	179.113455802072	250.833410643222	293.129301236083	77.011673258295	108.49439876393	179.476153141951	142.643987940536	165.632347293489	496.28530009944	118.49643547048	297.090261236297	49.7801603422915	206.10455777866	152.736995308544	128.335441009392	327.647702017557	251.199660611318	17.4728749087815	252.081693399697	85.0970334843813	107.071128974488	545.550979452672	200.290496216365	171.188042509205	167.269227801992	70.8556602018574	116.133609909685	218.258461264126	57.4690054315915	1159.65844716356	437.905831334503	1537.5754636531	233.793702401654	397.685800971496	750.237263243341	53.5846647982733	3274.80362805565	231.396544257895	529.11435937432	344.774935847237	176.706004438475	2514.96347127834	1492.59141589354	103.644156510376	95.6812805008593	194.332588281016	128.114708474803	268.741399810785	286.699688228962	305.10326455408	69.5389290845972	279.061196791594	123.295580130483	51.8349113972395	203.233303793749	223.431360823267	183.908329483564	191.434807731583	4986.73620019888	200.549819377198	168.240238511908	151.641979996553	132.703893063981	314.601531991603	187.60017574177	138.81033356039	107.147703455882	2881.49096575399	324.177676843152	174.01198577468	162.193217277233	269.899245492258	70.6384584913177	247.481980790168	175.849233046853	140.010907095295	222.124931715816	247.119859183625	367.285652085038	310.782658671147	98.9344827795886	94.3123864875922	699.718171408807	397.964934595463	117.742506491036	0	137.041495054498	43.7555665284792	81.1875520126187	82.4750674224323	195.913044599824	94.8898919383076	380.188794378954	116.054482549593	263.691375867205	207.166203003959	240.76730548951	151.61077457591	495.9888331657	93.3650567048228	0	187.494273030135	225.847006647532	520.526876260488	66.4396224394446	91.6941804350518	222.25707553636	2128.0243884492	143.325936314881	706.723976953948
Prokaryotic cell type differentiation	6469.21717478688	7901.16879570602	4388.5608846326	4791.81079848392	4179.59532181798	5490.75137979343	7882.57127569688	9059.45420493911	6799.49966254738	8540.39402094759	7509.24436183685	7377.11997148687	7107.79221327415	5979.06251776377	7224.5837006941	7996.33117395186	6937.63309014621	7095.73897755436	7801.21959883895	6480.7116015888	8432.7782217833	8434.90766860751	7626.9561774323	7213.42722349293	7745.90024139705	6845.6766153378	7725.82130077967	6924.99240305805	7305.23853023128	6915.60331274282	8273.25391254615	7273.66926520931	5681.86915514854	6030.10018623732	4323.62649435526	6120.53687327579	7181.99893244933	7254.53859823636	6738.51263125075	7146.97547716785	7094.86732858514	7532.54740125721	7022.54423660686	6482.03405581489	7185.936473199	8189.33327400179	5056.55163547562	7931.70972447931	4755.36978687372	6786.89365501271	6419.18167466818	5543.41977840913	6375.99659909386	4174.89585331071	5660.95117202352	7482.97159064233	7491.01906068087	9615.75174152702	8409.40910708696	5821.10652198481	7125.88124061003	7415.69137521209	8104.13702069184	7591.28176011871	7727.5192830897	6042.97715846479	6262.90367869221	7501.77538003533	7421.43051467478	7451.09423152906	7208.60998205727	6876.96337081648	6987.87357839704	7392.44303399001	6340.13851320553	6927.32929697439	6266.69236853059	8148.75861294603	7362.81280326402	7113.46081416648	6868.10100063447	7518.14966720634	7232.76376326621	7400.32031711319	3241.67733647324	7213.52182088476	7020.97578541666	7729.95271178628	4992.65235120267	6381.00741704904	7755.21565082585	7049.46561444146	7098.30735656114	8632.58257350102	7328.00187942059	6917.017183803	6767.29239256422	7969.3989086081	7655.2884557471	7507.0712760854	7441.46280079402	7383.23104555888	7898.51761432815	6934.52948874303	7049.75102718013	8042.38385996186	7914.33365241769	7115.75527423063	7276.15691382942	7657.61821301838	7121.28663825497	6665.76306608582	7075.60365547928	7132.20342664977	7834.53445255435	8191.81556712381	8124.7050386676	6759.42206675313	6146.82311625318	6912.66874004171	4031.80027840361	9305.23823165777	7250.14225989727	6731.21428767261	5602.18541656133	7332.98347452201	5246.98927951458
Prophages, Transposable elements, Plasmids	5748.17395458411	9590.19203651552	18867.1739614386	15159.0142937265	16457.7598699761	5656.13545749805	5571.72545543493	5606.68112711755	12178.0528658157	7580.40230318331	10199.464820519	11054.9826286807	16441.3548684106	8576.51850938674	5892.57090249764	4077.56445180905	4199.59551972634	7829.20536914528	4402.89377608084	7080.09189940007	12313.3108687429	6796.85498138739	7583.51774616462	4672.38307165222	8326.47612539975	4050.69622209337	6510.57452367686	11590.4514393095	20277.1186460934	6009.02295935848	8378.86991994035	12103.9497432007	6035.05928554919	6967.12725358016	10060.3717469582	23383.4831429501	9855.76202655102	2577.22085882452	5977.43316207033	3723.06365402755	3146.21862821717	3329.60057253401	5645.76965100147	11885.385662829	5151.72932325923	7651.84214955826	2879.6489364142	1128.44964228507	8707.26436599133	712.312637784828	9865.03383412082	10955.8457489504	976.672716282698	29013.6110906684	2784.10445313468	8249.05793937518	9058.17785998649	6184.71015534663	7151.92737144779	47762.9253085933	2001.94446308486	7365.10578019319	2535.53443855075	1278.96331130812	3468.1125807123	4753.64064983302	4644.72636446464	3784.60353442232	2613.02756995766	8896.31068152313	4532.50563482332	1878.77898618221	1547.13330517559	960.690086434689	3527.87002819632	5092.58673275027	5897.33945850605	4253.96809873979	3047.70646071504	7367.56049913109	4609.02896276291	3616.53998125169	2045.16704218358	2895.14822926558	38179.7552962403	3589.28445735198	7638.40112556771	2220.50928769708	2668.03626905967	2189.22254824302	5027.66488919664	2011.14927450136	3446.23337990701	2281.82884398974	3778.76612744645	6630.06302245748	3278.7570489806	1893.65773084984	1304.38826057416	5196.38276191844	3986.29039617734	6522.33453705949	3443.39869029137	8322.18236319424	3601.08312529383	1948.50124830285	3051.57749462999	3288.71315432296	2431.71163073903	3353.71837160772	873.359156813887	3924.77763225552	6617.61419087222	4836.46604886822	3858.68491833373	11439.7424423702	4189.75691962892	6954.94253975839	2918.7514271126	2581.74652517997	8821.56074504617	4139.55758699095	5708.35660742749	14146.8392523937	7528.69234398314	5652.59225794791	13024.2248962717
Protein Fate (folding, modification, targeting, degradation)	34863.4087345929	31804.0809796894	36090.7045470954	36611.0944246877	35109.0833355252	36427.4969552199	35282.7875722636	30053.2873731753	35643.4626863886	30779.7050152576	32707.5016230466	36601.2527544021	35205.6315074224	36412.4975578161	35737.0576531993	37032.3580675141	35044.1140738418	36433.7526574787	37467.7711400895	34776.9446524046	33855.1872496049	31764.3944145808	36356.5363640384	37629.4840187134	35852.5018412364	35113.8352656815	34563.6547239914	36788.9285400293	34763.1453057002	35078.3314444287	38047.8507184415	37569.3890394931	36048.2934090714	30900.6982509497	39781.549957682	35094.1557506883	33765.2872146956	35340.0471045882	34631.3786911381	36520.7750665059	32398.7247559769	35722.3319690635	35187.5522433136	35649.8794960595	35054.7339730326	32365.7419659733	32421.2697150714	31948.5989022469	28737.1579922955	35000.2925066005	34129.0662005844	34246.9417387933	32578.3914875364	41567.0249982151	29752.8207422394	32783.8040713479	36298.0097232503	34663.8278706808	30507.0308573295	41344.7822202511	35973.5048026646	36143.4729970678	35203.9448035658	36975.1666015934	40574.6536018983	35608.1922319377	36228.5643062666	38916.0919560159	42358.107113003	34979.5544147913	33299.3569040736	33766.0843514214	32573.3417631717	32991.8106868529	33194.0498107563	32835.227236451	35441.3766575529	36922.9752403275	34981.475643682	32847.5394454421	34345.6318429529	35411.2532217701	34406.1171457761	33097.1191094313	22211.4928610203	33353.8317789982	36781.1037588035	35970.4321944525	27886.3640981726	36800.1683256959	35526.2546852321	33684.8975303082	35678.9548917771	31669.6304158458	36868.4249461428	36854.6884479714	35928.5199651389	32065.9267985471	32853.8796844553	34904.7940291099	38062.8472989098	37178.484852646	32037.8074019378	34790.4399237411	34854.9550371444	33005.9507002712	33627.1359554108	34942.3181204426	29038.8373302405	37963.4876930189	34275.4128546891	34543.939942601	36397.6973511651	36419.22294615	36802.9195739997	34033.9004177087	31230.6114677632	32693.8162360932	34599.6677987089	35783.7569832633	34007.7559156852	29560.0953503495	34511.2002235698	32393.0867869025	31098.1745857462	35944.4235113801	34942.4837926351
